Subject,Age,Gender,PMAT24_A_CR
559053,31-35,F,23.0
561444,22-25,M,21.0
562345,31-35,F,15.0
567052,31-35,M,15.0
567961,22-25,F,8.0
568963,31-35,F,11.0
571144,22-25,M,16.0
573249,26-30,M,19.0
576255,31-35,F,23.0
580044,26-30,F,22.0
580751,22-25,M,23.0
581349,31-35,M,12.0
585256,31-35,F,10.0
587664,26-30,F,17.0
597869,31-35,M,22.0
598568,26-30,M,14.0
599065,22-25,M,18.0
599671,26-30,M,15.0
604537,22-25,M,22.0
611938,22-25,M,23.0
616645,22-25,M,23.0
618952,22-25,M,20.0
622236,22-25,M,12.0
627549,31-35,F,9.0
633847,22-25,F,18.0
638049,31-35,F,21.0
645450,26-30,F,23.0
654350,26-30,F,12.0
654754,31-35,F,8.0
656253,26-30,M,21.0
656657,22-25,M,21.0
657659,22-25,F,22.0
660951,26-30,F,13.0
663755,22-25,F,22.0
664757,26-30,M,13.0
667056,22-25,M,20.0
671855,26-30,M,19.0
672756,31-35,M,20.0
679568,26-30,F,24.0
679770,26-30,M,9.0
690152,26-30,M,23.0
695768,26-30,M,20.0
702133,31-35,F,23.0
715950,26-30,F,18.0
724446,22-25,M,21.0
725751,26-30,M,16.0
729557,22-25,F,12.0
731140,31-35,F,8.0
735148,22-25,M,11.0
744553,31-35,F,18.0
748258,22-25,F,18.0
749058,22-25,M,24.0
753150,22-25,M,20.0
756055,22-25,M,11.0
769064,26-30,M,21.0
770352,26-30,F,22.0
782561,31-35,F,21.0
789373,26-30,M,20.0
792867,36+,M,14.0
800941,26-30,M,17.0
803240,22-25,M,13.0
812746,22-25,M,11.0
816653,22-25,F,21.0
820745,31-35,M,14.0
825048,31-35,F,21.0
833148,26-30,M,16.0
833249,26-30,F,17.0
835657,31-35,F,16.0
837560,26-30,M,12.0
849264,31-35,F,9.0
849971,22-25,M,23.0
865363,22-25,M,20.0
872562,31-35,F,19.0
877269,22-25,F,15.0
889579,31-35,M,10.0
894067,31-35,M,11.0
894774,26-30,M,19.0
898176,31-35,M,14.0
899885,26-30,F,20.0
901442,26-30,F,18.0
907656,31-35,F,11.0
912447,26-30,M,12.0
919966,31-35,F,12.0
922854,26-30,M,10.0
923755,26-30,F,19.0
930449,22-25,F,15.0
947668,26-30,F,23.0
952863,22-25,F,19.0
955465,26-30,M,8.0
957974,26-30,F,16.0
966975,22-25,M,14.0
984472,26-30,F,22.0
987983,26-30,F,22.0
993675,26-30,F,21.0
994273,26-30,M,20.0
